product_id,asin,product_name,category,sub_category,price,weight_kg,is_quick_commerce_eligible,created_at
1,B0X1WDM6KA,"Ultra Smartwatches Classic",Electronics,Smartwatches,32598.22,14.56,0,"2025-04-29 00:00:00"
2,B0KXW6Z3A4,"Pro Tablets Deluxe",Electronics,Tablets,52893.04,1.82,0,"2025-12-10 00:00:00"
3,B0M1V5Y2Z8,"Elite Snacks Premium",Grocery,Snacks,487.15,0.95,1,"2024-11-20 00:00:00"
4,B0P3R8Q5N1,"Smart Yoga Lite",Sports,Yoga,3289.99,2.30,0,"2025-07-14 00:00:00"
5,B0K4T7L9J2,"Max Headphones Gold",Electronics,Headphones,8499.00,0.35,0,"2026-01-05 00:00:00"
6,B0N2W8X6H5,"Eco Skincare Natural",Beauty,Skincare,1250.75,0.48,1,"2025-03-22 00:00:00"
7,B0L5V3M7R9,"Nova Fiction Essential",Books,Fiction,399.00,0.32,1,"2024-09-15 00:00:00"
8,B0Q8Y1K4P6,"Zen Cookware Advanced","Home & Kitchen",Cookware,4599.50,3.75,0,"2025-08-30 00:00:00"
9,B0J7U2N5S3,"Aura Men Clothing Series",Fashion,"Men Clothing",2199.00,0.55,0,"2026-02-18 00:00:00"
10,B0H6T9R1W4,"Apex Board Games Plus",Toys,"Board Games",899.99,1.20,1,"2025-05-07 00:00:00"
11,B0G3S8P2V7,"Core Beverages Fresh",Grocery,Beverages,149.00,1.50,1,"2025-11-12 00:00:00"
12,B0F1Q5M8T6,"Flex Laptops Power",Electronics,Laptops,67999.00,2.10,0,"2024-12-28 00:00:00"
13,B0D9O4K7R2,"Turbo Cricket Active",Sports,Cricket,5499.00,1.85,0,"2025-06-19 00:00:00"
14,B0C8N3J6Q1,"Vita Haircare Pure",Beauty,Haircare,875.50,0.62,1,"2025-10-03 00:00:00"
15,B0B7L2H5P9,"Neo Women Clothing Mini",Fashion,"Women Clothing",1699.00,0.40,0,"2026-03-25 00:00:00"
16,B0A6K1G4N8,"Swift Appliances XL","Home & Kitchen",Appliances,12999.00,8.50,0,"2025-01-17 00:00:00"
17,B0Z5J9F3M7,"Rapid Educational Comfort",Toys,Educational,649.00,0.75,1,"2025-09-08 00:00:00"
18,B0Y4I8E2L6,"Alpha Non-Fiction Gold",Books,Non-Fiction,599.00,0.45,1,"2024-10-14 00:00:00"
19,B0X3H7D1K5,"Royal Fragrances Silver",Beauty,Fragrances,2899.00,0.30,1,"2025-04-01 00:00:00"
20,B0W2G6C9J4,"Ultra Fitness Equipment Basic",Sports,"Fitness Equipment",7999.00,15.00,0,"2025-12-22 00:00:00"
